Celsius,Fahrenheit,Humidity
34.0,93.2,15.294664228712
36.0,96.8,12.758614885786
38.0,100.4,11.438233302864
41.0,105.8,9.7374411218281
43.0,109.4,8.1619427972493
44.0,111.2,8.9248098773019
44.0,111.2,8.9248098773019
43.0,109.4,9.4027956055311
43.0,109.4,10.083632872447
31.0,87.8,40.448391003503
34.0,93.2,30.026864329252
37.0,98.6,25.44329672745
38.0,100.4,22.577123703352
40.0,104.0,20.271903697795
41.0,105.8,17.999715735646
43.0,109.4,13.263190285445
44.0,111.2,10.988806807739
44.0,111.2,11.764889373161
43.0,109.4,12.39498113891
43.0,109.4,13.263190285445
32.0,89.6,25.818455317719
33.0,91.4,24.402090118342
36.0,96.8,19.310848312367
38.0,100.4,17.3123799292
40.0,104.0,16.62464710622
41.0,105.8,13.773380277653
43.0,109.4,13.263190285445
44.0,111.2,11.764889373161
45.0,113.0,11.170873938057
45.0,113.0,11.170873938057
45.0,113.0,11.953340229785
45.0,113.0,11.170873938057
45.0,113.0,11.953340229785
44.0,111.2,12.588963605084
43.0,109.4,13.263190285445
34.0,93.2,21.574013785652
36.0,96.8,19.310848312367
37.0,98.6,18.280764462498
38.0,100.4,18.515119242724
,,
40.0,104.0,16.62464710622
41.0,105.8,15.762039356595
42.0,107.6,13.978642698968
43.0,109.4,15.162046759986
43.0,109.4,15.162046759986
43.0,109.4,15.162046759986
